5.684341886080802e-14 47405
2.2737367544323206e-13 67386
1.9895196601282805e-13 69373
0.0 203583
0.0 96096
0.0 271854
4.547473508864641e-13 81903
0.0 56840
0.0 217173
1.4210854715202004e-13 49485
0.0 55044
2.2737367544323206e-13 83650
0.0 98060
2.842170943040401e-14 123203
0.0 84270
1.9895196601282805e-13 41622
0.0 68740
0.0 48973
2.2737367544323206e-13 34846
0.0 8152
1.1368683772161603e-13 47790
0.0 51013
9.094947017729282e-13 217834
0.0 49223
0.0 54192
0.0 116038
1.7053025658242404e-13 103564
0.0 205334
0.0 96134
1.1368683772161603e-13 74666
1.1368683772161603e-13 60144
