Mean (Std)
1.42e-14(0.00e+00)
4.72e-12(5.47e-12)
1.71e-13(0.00e+00)
9.47e-14(2.68e-14)
6.70e+01(1.27e+01)
6.33e-01(3.74e-01)
8.70e+01(1.06e+01)
8.62e+01(1.90e+01)
1.84e+00(6.17e-01)
2.24e+03(2.96e+02)
2.19e+01(1.18e+01)
2.14e+03(1.04e+03)
7.89e+01(2.35e+01)
5.97e+01(1.43e+01)
3.69e+01(1.60e+01)
8.12e+02(1.15e+02)
3.82e+01(1.52e+01)
2.70e+01(1.21e+01)
2.92e+02(1.09e+01)
1.02e+02(1.43e+00)
4.05e+02(5.00e+00)
4.16e+02(1.52e+02)
3.87e+02(3.72e-01)
1.78e+03(1.89e+02)
5.13e+02(3.04e+00)
3.76e+02(5.37e+01)
2.10e+03(8.81e+01)
